Hour,Severity,Hour_Severity_Count
10,2,111517
Hour,Severity,Hour_Severity_Count
17,2,146559
16,3,66491
17,1,85
Hour,Severity,Hour_Severity_Count
6,1,48
Hour,Severity,Hour_Severity_Count
3,1,4
Hour,Severity,Hour_Severity_Count
17,3,70039
Hour,Severity,Hour_Severity_Count
7,4,4650
Hour,Severity,Hour_Severity_Count
2,2,9458
Hour,Severity,Hour_Severity_Count
18,1,58
Hour,Severity,Hour_Severity_Count
9,4,4443
Hour,Severity,Hour_Severity_Count
19,2,74497
8,3,72201
Hour,Severity,Hour_Severity_Count
20,2,50521
Hour,Severity,Hour_Severity_Count
2,3,7209
7,1,102
Hour,Severity,Hour_Severity_Count
12,2,94596
Hour,Severity,Hour_Severity_Count
1,2,9311
Hour,Severity,Hour_Severity_Count
16,2,141005
Hour,Severity,Hour_Severity_Count
11,1,55
Hour,Severity,Hour_Severity_Count
9,1,54
Hour,Severity,Hour_Severity_Count
15,1,39
Hour,Severity,Hour_Severity_Count
23,2,14494
Hour,Severity,Hour_Severity_Count
12,1,43
Hour,Severity,Hour_Severity_Count
14,3,46322
Hour,Severity,Hour_Severity_Count
16,4,5002
Hour,Severity,Hour_Severity_Count
1,1,2
Hour,Severity,Hour_Severity_Count
1,3,6532
Hour,Severity,Hour_Severity_Count
20,3,27669
Hour,Severity,Hour_Severity_Count
11,4,3991
Hour,Severity,Hour_Severity_Count
19,1,40
Hour,Severity,Hour_Severity_Count
15,2,117386
Hour,Severity,Hour_Severity_Count
7,2,196978
Hour,Severity,Hour_Severity_Count
14,2,99381
1,4,2155
Hour,Severity,Hour_Severity_Count
5,4,3740
Hour,Severity,Hour_Severity_Count
21,3,21011
23,3,9197
Hour,Severity,Hour_Severity_Count
21,2,33736
14,4,4497
Hour,Severity,Hour_Severity_Count
10,4,4128
Hour,Severity,Hour_Severity_Count
7,3,71776
10,1,51
19,4,3858
Hour,Severity,Hour_Severity_Count
3,3,7149
Hour,Severity,Hour_Severity_Count
9,3,48526
Hour,Severity,Hour_Severity_Count
9,2,124445
21,4,2967
Hour,Severity,Hour_Severity_Count
8,1,104
Hour,Severity,Hour_Severity_Count
13,4,4588
Hour,Severity,Hour_Severity_Count
4,3,18088
Hour,Severity,Hour_Severity_Count
2,1,1
Hour,Severity,Hour_Severity_Count
2,4,2276
Hour,Severity,Hour_Severity_Count
11,3,41517
Hour,Severity,Hour_Severity_Count
6,3,50608
Hour,Severity,Hour_Severity_Count
13,3,42450
Hour,Severity,Hour_Severity_Count
8,2,207297
Hour,Severity,Hour_Severity_Count
6,2,114170
16,1,78
Hour,Severity,Hour_Severity_Count
12,4,4518
Hour,Severity,Hour_Severity_Count
0,1,4
Hour,Severity,Hour_Severity_Count
17,4,4958
21,1,25
Hour,Severity,Hour_Severity_Count
18,2,108790
Hour,Severity,Hour_Severity_Count
18,4,4571
20,1,26
Hour,Severity,Hour_Severity_Count
8,4,4672
Hour,Severity,Hour_Severity_Count
13,2,94942
Hour,Severity,Hour_Severity_Count
10,3,42171
Hour,Severity,Hour_Severity_Count
15,4,4880
Hour,Severity,Hour_Severity_Count
3,2,9057
Hour,Severity,Hour_Severity_Count
5,2,53434
Hour,Severity,Hour_Severity_Count
15,3,55350
Hour,Severity,Hour_Severity_Count
5,1,20
Hour,Severity,Hour_Severity_Count
5,3,26672
Hour,Severity,Hour_Severity_Count
20,4,3517
Hour,Severity,Hour_Severity_Count
23,4,3016
Hour,Severity,Hour_Severity_Count
19,3,37018
Hour,Severity,Hour_Severity_Count
18,3,53992
Hour,Severity,Hour_Severity_Count
0,2,11853
Hour,Severity,Hour_Severity_Count
23,1,9
Hour,Severity,Hour_Severity_Count
4,2,32679
3,4,2390
Hour,Severity,Hour_Severity_Count
14,1,42
Hour,Severity,Hour_Severity_Count
4,4,2816
Hour,Severity,Hour_Severity_Count
11,2,109767
Hour,Severity,Hour_Severity_Count
0,3,7923
Hour,Severity,Hour_Severity_Count
4,1,11
Hour,Severity,Hour_Severity_Count
13,1,47
Hour,Severity,Hour_Severity_Count
0,4,3409
Hour,Severity,Hour_Severity_Count
12,3,40009
Hour,Severity,Hour_Severity_Count
22,2,27537
Hour,Severity,Hour_Severity_Count
22,4,3042
Hour,Severity,Hour_Severity_Count
22,3,17700
22,1,20
Hour,Severity,Hour_Severity_Count
6,4,4253
