,State,Accidents_count
0,CA,663204
1,TX,298062
2,FL,223746
3,SC,146689
4,NC,142460
5,NY,137799
6,PA,90395
7,MI,88694
8,IL,86390
9,GA,83620
10,VA,79957
11,OR,70840
12,MN,62727
13,AZ,62330
14,WA,61367
15,TN,58289
16,OH,55863
17,LA,52481
18,OK,51297
19,NJ,49942
20,MD,43328
21,UT,41385
22,CO,40124
23,AL,36369
24,MA,33014
25,IN,30040
26,MO,29012
27,CT,22803
28,NE,22505
29,KY,19122
30,WI,17580
31,RI,10483
32,IA,10346
33,NV,9524
34,NH,7064
35,KS,6887
36,MS,5961
37,NM,5020
38,DE,4434
39,DC,3653
40,WV,2274
41,ME,2065
42,ID,1757
43,AR,1749
44,VT,585
45,MT,504
46,WY,492
47,SD,60
48,ND,43
