,Weather_Condition,Accidents_count
0,Clear,808171
1,Mostly Cloudy,412528
2,Overcast,382480
3,Fair,335289
4,Partly Cloudy,295439
5,Scattered Clouds,204662
6,Cloudy,181428
7,Light Rain,141073
8,Light Snow,42123
9,Haze,34315
10,Rain,32826
11,Fog,22138
12,Heavy Rain,12064
13,Light Drizzle,10277
14,Light Thunderstorms and Rain,4928
15,Snow,4796
16,Thunderstorm,4438
17,Fair / Windy,3759
18,Smoke,3602
19,Heavy Thunderstorms and Rain,2483
20,Patches of Fog,2386
21,Thunderstorms and Rain,2215
22,Mist,2204
23,Thunder in the Vicinity,2177
24,T-Storm,2161
25,Light Freezing Rain,2132
26,Cloudy / Windy,2097
27,Drizzle,2044
28,Mostly Cloudy / Windy,1987
29,Light Rain with Thunder,1933
30,Thunder,1661
31,Partly Cloudy / Windy,1316
32,Heavy T-Storm,1263
33,Heavy Snow,1249
34,Shallow Fog,1135
35,Light Rain / Windy,1045
36,Light Freezing Fog,1001
37,Wintry Mix,799
38,Light Freezing Drizzle,798
39,Light Snow / Windy,453
40,Rain / Windy,303
41,Blowing Snow,268
42,Showers in the Vicinity,267
43,Light Ice Pellets,262
44,Heavy Drizzle,258
45,N/A Precipitation,201
46,Heavy Rain / Windy,158
47,Light Rain Showers,157
48,Heavy T-Storm / Windy,146
49,Widespread Dust,129
50,T-Storm / Windy,128
51,Rain Showers,123
52,Ice Pellets,101
53,Thunder / Windy,80
54,Haze / Windy,66
55,Drizzle and Fog,65
56,Blowing Dust / Windy,64
57,Fog / Windy,59
58,Light Rain Shower,55
59,Snow / Windy,50
60,Blowing Dust,44
61,Small Hail,30
62,Light Drizzle / Windy,28
63,Sand / Dust Whirlwinds,27
64,Squalls,26
65,Light Snow Showers,24
66,Heavy Snow / Windy,23
67,Volcanic Ash,22
68,Light Thunderstorms and Snow,22
69,Wintry Mix / Windy,20
70,Funnel Cloud,19
71,Sand,19
72,Freezing Rain,17
73,Partial Fog,10
74,Blowing Snow / Windy,10
75,Light Haze,10
76,Light Snow with Thunder,9
77,Snow and Sleet,9
78,Light Snow and Sleet,9
79,Snow and Sleet / Windy,9
80,Heavy Thunderstorms with Small Hail,7
81,Smoke / Windy,7
82,Heavy Rain Showers,7
83,Heavy Sleet,6
84,Light Freezing Rain / Windy,6
85,Light Snow Grains,6
86,Rain Shower,6
87,Heavy Snow with Thunder,6
88,Low Drifting Snow,5
89,Heavy Thunderstorms and Snow,5
90,Squalls / Windy,5
91,Heavy Ice Pellets,4
92,Light Snow and Sleet / Windy,4
93,Light Sleet,4
94,Snow Grains,4
95,Heavy Blowing Snow,4
96,Light Fog,4
97,Drizzle / Windy,4
98,Tornado,3
99,Light Hail,3
100,Light Thunderstorm,3
101,Thunderstorms and Snow,3
102,Sleet,3
103,Light Blowing Snow,3
104,Heavy Freezing Drizzle,2
105,Heavy Freezing Rain,2
106,Sand / Dust Whirlwinds / Windy,2
107,Snow Showers,2
108,Hail,2
109,Widespread Dust / Windy,1
110,Thunder and Hail / Windy,1
111,Partial Fog / Windy,1
112,Dust Whirls,1
113,Snow and Thunder,1
114,Thunder / Wintry Mix / Windy,1
115,Light Rain Shower / Windy,1
116,Freezing Rain / Windy,1
117,Heavy Smoke,1
118,Blowing Sand,1
119,Light Snow Shower,1
